;;;;
;;;;
Francesinha com batata pala;Lombo de porco assado com batatinha assada;;;
Peixe à Gomes de Sá;Bacalhau à Lavrador com arroz de pimentos;;;
Frango estufado simples com puré;Carapau grelhado com batata cozida;;;
Petinga frita com arroz de feijão;;;;
Pimentos recheados com legumes, com arroz;Pizza de legumes;;;
;;;;
;;;;
Rojões à Portuguesa (arroz);Panadinhos de frango com arroz de cenoura;;;
Tintureira com molho de marisco e puré;Perca assada no forno com batatinha assada;;;
Carne vaca estufª simp. c/ervilhas e esparguete;Salmão grelhado com batata cozida;;;
Folhados de carne com arroz de legumes;;;;
Quiche de legumes c/ arroz de cenoura;Jardineira de soja com forma de arroz;;;
;;;;
;;;;
Arroz de pato;Feijoada à Transmontana c/ arroz;;;
Tentáculos de Pota à Lagareiro c/batatas a murro;Salmão à Rosa do Adro com arroz de legumes;;;
Cozido Simples (arroz e batata cozida);Badejo assado ao natural com arroz;;;
Peixe espada grelhado com batata cozida;;;;
Crepes de legumes com arroz;Massa de legumes gratinada;;;
;;;;
;;;;
Shoarma com arroz e batata pala;Novilho assado com batatinha assada e arroz;;;
Pescada à Moda de Braga c/batata pala e arroz;Filetes de pescada c/arroz de tomate malandrinho;;;
Bife de peru estufado simples com laços;Solha grelhada com salada russa;;;
Empadão de carnes guarnecido;;;;
Almofadinhas de legumes com arroz;Croquetes de cenoura com arroz;;;
;;;;
;;;;
Acepipes variados com arroz alegre;Naco de porco à Mirandesa com batatas a murro;;;
Paloco com natas;Peixe (pescada) à Brás;;;
Costeleta grelhada com arroz;Red-fish assado ao nat. c/bat. assada ao natural;;;
Raia com molho Pitáu e batata cozida;;;;
Caril de grão e couve lombarda, c/forma de arroz;Tofu à Parmegiana com arroz;;;
;;;;
;;;;
Churrasquinho de carnes c/arroz e batata pala;Macarronete de carne de vaca c/cenoura-rodelas;;;
Espetadas de peixe (salmão/tintureira) c//batata cozida;Corvina assada com broa e batatinha assada;;;
Pescada cozida com batata cozida;Escalopes de frango grelhados com fusilli;;;
Peru estufado com esparguete;;;;
Tarte de legumes c/ forma de arroz;Omolete de cogumelos com arroz;;;
;;;;
;;;;
Rolo de carne recheado com espinafres, c/arroz;Fêvera grelhada com m. de cogumelos e puré;;;
Medalhões de peixe (pescada) panados com puré;Potas estufadas com arroz;;;
Frango assado ao natural com arroz de legumes;Truta grelhada com batata cozida;;;
Trouxas de atum com arroz;;;;
Pataniscas de legumes com arroz;Bolonhesa de soja com esparguete;;;
